GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
back-end_programming,nl.hu.vkbep.lingo.game.domain,GameStatus,0,34,0,0,0,4,0,1,0,1
back-end_programming,nl.hu.vkbep.lingo.game.domain,GameType,0,34,0,0,0,4,0,1,0,1
back-end_programming,nl.hu.vkbep.lingo.game.domain,Game,81,15,0,0,27,6,15,1,15,1
back-end_programming,nl.hu.vkbep.lingo.fileImport.data,FileWordReader,46,0,4,0,14,0,6,0,4,0
back-end_programming,nl.hu.vkbep.lingo.fileImport.data,FileWordWriter,47,0,6,0,12,0,5,0,2,0
back-end_programming,nl.hu.vkbep.lingo.word.application,WordService,29,152,2,18,7,39,5,15,4,6
back-end_programming,nl.hu.vkbep.lingo,BackEndProgrammingApplication,8,0,0,0,3,0,2,0,2,0
back-end_programming,nl.hu.vkbep.lingo.highScore.application,HighScoreService,3,0,0,0,1,0,1,0,1,0
back-end_programming,nl.hu.vkbep.lingo.score.application,ScoreService,3,0,0,0,1,0,1,0,1,0
back-end_programming,nl.hu.vkbep.lingo.player.presentation,PlayerController,3,0,0,0,1,0,1,0,1,0
back-end_programming,nl.hu.vkbep.lingo.highScore.domain,HighScore,12,0,0,0,6,0,2,0,2,0
back-end_programming,nl.hu.vkbep.lingo.score.domain,Score,24,0,0,0,10,0,5,0,5,0
back-end_programming,nl.hu.vkbep.lingo.word.presentation,WordController,3,0,0,0,1,0,1,0,1,0
back-end_programming,nl.hu.vkbep.lingo.fileImport.domain,LingoWordFilter,3,0,0,0,1,0,1,0,1,0
back-end_programming,nl.hu.vkbep.lingo.game.application,GameService,229,0,14,0,48,0,16,0,9,0
back-end_programming,nl.hu.vkbep.lingo.player.domain,Player,40,0,0,0,15,0,8,0,8,0
back-end_programming,nl.hu.vkbep.lingo.round.domain,RoundStatus,0,24,0,0,0,3,0,1,0,1
back-end_programming,nl.hu.vkbep.lingo.round.domain,RoundType,0,34,0,0,0,4,0,1,0,1
back-end_programming,nl.hu.vkbep.lingo.round.domain,Round,27,22,0,0,12,9,8,3,8,3
back-end_programming,nl.hu.vkbep.lingo.highScore.presentation,HighScoreController,3,0,0,0,1,0,1,0,1,0
back-end_programming,nl.hu.vkbep.lingo.word.domain,Word,18,12,0,0,8,5,5,2,5,2
back-end_programming,nl.hu.vkbep.lingo.player.application,PlayerService,3,0,0,0,1,0,1,0,1,0
back-end_programming,nl.hu.vkbep.lingo.fileImport.presentation,WordProcessorController,3,0,0,0,1,0,1,0,1,0
back-end_programming,nl.hu.vkbep.lingo.round.presentation,RoundController,3,0,0,0,1,0,1,0,1,0
back-end_programming,nl.hu.vkbep.lingo.fileImport.application,FilterWordsProcessor,0,19,0,4,0,3,0,5,0,3
back-end_programming,nl.hu.vkbep.lingo.round.application,RoundService,80,57,11,5,19,14,9,6,3,4
back-end_programming,nl.hu.vkbep.lingo.game.presentation,GameController,16,0,0,0,5,0,3,0,3,0
back-end_programming,nl.hu.vkbep.lingo.game.exceptions,MaxRoundReached,4,0,0,0,2,0,1,0,1,0
back-end_programming,nl.hu.vkbep.lingo.score.presentation,ScoreController,3,0,0,0,1,0,1,0,1,0
